Date,Open,High,Low,Close,Volume,Market.Cap,Coin
2015-12-25,454.86,458.31,452.07,455.65000000000003,39078500,682312e4,Bitcoin
2015-12-26,455.76,457.48999999999995,405.76,417.27,116166e3,683848e4,Bitcoin
2015-12-27,416.51,424.01,408.88,422.82,53591200,625144e4,Bitcoin
2015-12-28,423.34000000000003,429.77,418.47999999999996,422.28,49638600,63561e5,Bitcoin
2015-12-29,422.1,432.97999999999996,420.63,432.97999999999996,51596500,633901e4,Bitcoin
2015-12-30,433.3,434.39,422.08,426.62,46889400,650896e4,Bitcoin
2015-12-31,425.88,432.91999999999996,418.74,430.57,45996600,639919e4,Bitcoin
2016-01-01,430.71999999999997,436.25,427.51,434.33,36278900,647353e4,Bitcoin
2016-01-02,434.62,436.06,431.87,433.44,30096600,653363e4,Bitcoin
2016-01-03,433.58,433.74,424.71,430.01,39633800,65195e5,Bitcoin
2016-01-04,430.06,434.52,429.08,433.09,38477500,646818e4,Bitcoin
2016-01-05,433.07,434.18,429.68,431.96,34522600,651538e4,Bitcoin
2016-01-06,431.86,431.86,426.34000000000003,429.11,34042500,649883e4,Bitcoin
2016-01-07,430.01,458.77,429.08,458.05,87562200,647258e4,Bitcoin
2016-01-08,457.54,462.92999999999995,447.94,453.22999999999996,56993e3,68886e5,Bitcoin
2016-01-09,453.38,454.64000000000004,446.89,447.61,32278e3,6828e6,Bitcoin
2016-01-10,448.24,448.31,440.35,447.98999999999995,35995900,675221e4,Bitcoin
2016-01-11,448.7,450.66,443.86,448.42999999999995,4045e4,676109e4,Bitcoin
2016-01-12,448.18,448.18,435.69,435.69,115607e3,675522e4,Bitcoin
2016-01-13,434.67,435.19,424.44,432.37,173888e3,655335e4,Bitcoin
2016-01-14,432.28999999999996,433.32,427.85,430.31,43945500,651911e4,Bitcoin
2016-01-15,430.25,430.25,364.33,364.33,153351e3,648987e4,Bitcoin
2016-01-16,365.07,390.56,354.90999999999997,387.54,120352e3,550779e4,Bitcoin
2016-01-17,387.15000000000003,390.96,380.09,382.3,45319600,584227e4,Bitcoin
2016-01-18,381.72999999999996,388.1,376.67,387.17,54403900,576194e4,Bitcoin
2016-01-19,387.03,387.72999999999996,378.96999999999997,380.15000000000003,46819800,584351e4,Bitcoin
2016-01-20,379.74,425.27,376.6,420.22999999999996,12172e4,573476e4,Bitcoin
2016-01-21,419.63,422.88,406.3,410.26,68338e3,63388e5,Bitcoin
2016-01-22,409.75,410.40999999999997,375.28,382.48999999999995,91546600,619094e4,Bitcoin
2016-01-23,382.42999999999995,394.54,381.97999999999996,387.48999999999995,56247400,577989e4,Bitcoin
2016-01-24,388.1,405.48999999999995,387.51,402.96999999999997,54824800,58673e5,Bitcoin
2016-01-25,402.32,402.32,388.55,391.72999999999996,59062400,60839e5,Bitcoin
2016-01-26,392,397.77,390.57,392.15000000000003,58147e3,592952e4,Bitcoin
2016-01-27,392.44,396.84000000000003,391.78,394.96999999999997,47424400,593778e4,Bitcoin
2016-01-28,395.15000000000003,395.5,379.74,380.28999999999996,59247900,598018e4,Bitcoin
2016-01-29,380.11,384.38,365.45,379.46999999999997,86125300,575397e4,Bitcoin
2016-01-30,378.87,380.91999999999996,376.48999999999995,378.25,30284400,573676e4,Bitcoin
2016-01-31,378.28999999999996,380.35,367.83,368.77,37894300,572987e4,Bitcoin
2016-02-01,369.35,378.07,367.96,373.06,51656700,559609e4,Bitcoin
2016-02-02,372.91999999999996,375.88,372.91999999999996,374.45,40378700,565169e4,Bitcoin
2016-02-03,374.65000000000003,374.95,368.05,369.95,45933400,567953e4,Bitcoin
2016-02-04,370.17,391.61,369.98999999999995,389.59,69285500,561338e4,Bitcoin
2016-02-05,388.9,391.09,385.57,386.55,43825e3,589896e4,Bitcoin
2016-02-06,386.59,386.63,372.39,376.52,49249300,586574e4,Bitcoin
2016-02-07,376.51,380.87,374.9,376.62,37076300,571476e4,Bitcoin
2016-02-08,376.76,379.88,373.33,373.45,47671100,57201e5,Bitcoin
2016-02-09,373.41999999999996,377.25,372.9,376.03,55318500,567088e4,Bitcoin
2016-02-10,376.15000000000003,385.47999999999996,375.78,381.65000000000003,85130900,571388e4,Bitcoin
2016-02-11,382.11,383.13,376.4,379.65000000000003,74375600,580611e4,Bitcoin
2016-02-12,379.69,384.95,379.6,384.26,67042800,577104e4,Bitcoin
2016-02-13,384.64000000000004,391.86,384.64000000000004,391.86,61911700,584799e4,Bitcoin
2016-02-14,392.92999999999995,407.22999999999996,392.92999999999995,407.22999999999996,74469800,597558e4,Bitcoin
2016-02-15,407.57,410.38,397.75,400.19,74070500,619985e4,Bitcoin
2016-02-16,401.42999999999995,408.94,401.42999999999995,407.48999999999995,73093100,610804e4,Bitcoin
2016-02-17,407.66,421.17,406.78,416.32,83193600,620415e4,Bitcoin
2016-02-18,416.57,426,415.64000000000004,422.37,76752600,634143e4,Bitcoin
2016-02-19,422.72999999999996,423.1,417.6,420.78999999999996,55711300,643698e4,Bitcoin
2016-02-20,421.6,441.97999999999996,421.6,437.16,93992100,642131e4,Bitcoin
2016-02-21,437.77,448.05,429.08,438.8,89820700,666926e4,Bitcoin
2016-02-22,438.98999999999995,439.05,432.91999999999996,437.75,85385200,66892e5,Bitcoin
2016-02-23,438.25,439.86,417.82,420.74,85244900,66794e5,Bitcoin
2016-02-24,420.96,425.55,413.90999999999997,424.95,67743700,641719e4,Bitcoin
2016-02-25,425.04,427.71999999999997,420.41999999999996,424.54,70798e3,648065e4,Bitcoin
2016-02-26,424.63,432.15000000000003,421.62,432.15000000000003,61486e3,647608e4,Bitcoin
2016-02-27,432.84000000000003,434.22999999999996,428.1,432.52,41893600,660281e4,Bitcoin
2016-02-28,432.57,435.68,423.82,433.5,53033400,660031e4,Bitcoin
2016-02-29,433.44,441.51,431.69,437.7,60694700,661498e4,Bitcoin
2016-03-01,437.91999999999996,439.65000000000003,432.32,435.12,74895800,66848e5,Bitcoin
2016-03-02,435.13,435.91999999999996,423.98999999999995,423.98999999999995,74955300,664381e4,Bitcoin
2016-03-03,423.90999999999997,425.37,419.40999999999997,421.65000000000003,100484e3,647415e4,Bitcoin
2016-03-04,421.84000000000003,425.18,410.94,410.94,90856100,644389e4,Bitcoin
2016-03-05,410.78,411.26,394.04,400.57,135385e3,627661e4,Bitcoin
2016-03-06,400.52,411.90999999999997,395.78,407.71,91212500,61214e5,Bitcoin
2016-03-07,407.76,415.91999999999996,406.31,414.32,85762400,623343e4,Bitcoin
2016-03-08,414.46,416.24,411.09,413.96999999999997,70311700,633737e4,Bitcoin
2016-03-09,413.89,416.03,411.61,414.86,70012300,633023e4,Bitcoin
2016-03-10,414.74,417.51,413.25,417.13,81022900,634496e4,Bitcoin
2016-03-11,417.24,423.92999999999995,417.01,421.69,73969700,638474e4,Bitcoin
2016-03-12,421.61,421.8,410.09,411.62,92712900,645326e4,Bitcoin
2016-03-13,411.65000000000003,416.6,411.64000000000004,414.06,74322800,630233e4,Bitcoin
2016-03-14,414.2,416.68,414.2,416.44,95259400,634278e4,Bitcoin
2016-03-15,416.39,418.13,414.98999999999995,416.83,66781700,637787e4,Bitcoin
2016-03-16,416.89,417.69,415.90999999999997,417.01,65185800,638719e4,Bitcoin
2016-03-17,417.89,421,417.89,420.62,83528600,640413e4,Bitcoin
2016-03-18,420.55,420.55,406.14000000000004,409.55,10494e4,644633e4,Bitcoin
2016-03-19,409.26,410.97999999999996,407.22999999999996,410.44,58423e3,627479e4,Bitcoin
2016-03-20,410.4,414.63,410.4,413.75,45947900,629361e4,Bitcoin
2016-03-21,413.41999999999996,413.41999999999996,410.38,413.31,61655400,634138e4,Bitcoin
2016-03-22,413.13,418.38,412.53,418.09,66813300,633843e4,Bitcoin
2016-03-23,418.16,419.27,417.36,418.04,61444200,641713e4,Bitcoin
2016-03-24,418.41999999999996,418.68,415.48999999999995,416.39,68346700,642273e4,Bitcoin
2016-03-25,416.51,418.08,415.56,417.18,5256e4,639485e4,Bitcoin
2016-03-26,417.37,418.98999999999995,416.26,417.94,44650400,64095e5,Bitcoin
2016-03-27,418.14000000000004,428.8,417.71,426.76,71229400,642304e4,Bitcoin
2016-03-28,426.55,426.86,423.28999999999996,424.22999999999996,68522800,65537e5,Bitcoin
2016-03-29,424.3,426.2,412.68,416.52,75411500,652101e4,Bitcoin
2016-03-30,416.83,416.83,412.5,414.82,66034100,640784e4,Bitcoin
2016-03-31,415.26,418.37,415.26,416.72999999999996,60215200,638514e4,Bitcoin
2016-04-01,416.76,418.17,415.83,417.96,51235700,640954e4,Bitcoin
2016-04-02,418.41999999999996,422.08,418.41999999999996,420.87,45681200,64367e5,Bitcoin
2016-04-03,421.17,421.58,419.7,420.9,38053700,648047e4,Bitcoin
2016-04-04,421.3,422.34000000000003,419.6,421.44,50634300,648391e4,Bitcoin
2016-04-05,421.02,424.26,420.61,424.03,60718e3,648135e4,Bitcoin
2016-04-06,424.28,424.53,422.72999999999996,423.40999999999997,59091e3,653326e4,Bitcoin
2016-04-07,423.62,423.66,420.52,422.75,57858600,652468e4,Bitcoin
2016-04-08,422.90999999999997,425.36,419.63,420.35,63454700,651519e4,Bitcoin
2016-04-09,420.81,420.89,416.51,419.40999999999997,49792700,648441e4,Bitcoin
2016-04-10,419.59,422.44,419.26,421.56,73478600,646733e4,Bitcoin
2016-04-11,421.87,422.74,420.53,422.47999999999996,50747500,650429e4,Bitcoin
2016-04-12,422.84000000000003,427.28,422.84000000000003,425.19,70728800,652087e4,Bitcoin
2016-04-13,425.63,426.66,422.91999999999996,423.72999999999996,69060400,656547e4,Bitcoin
2016-04-14,423.94,425.37,423.01,424.28,45281e3,654103e4,Bitcoin
2016-04-15,424.42999999999995,429.92999999999995,424.42999999999995,429.71,54801500,655035e4,Bitcoin
2016-04-16,429.57,432.63,428.97999999999996,430.57,39392800,663131e4,Bitcoin
2016-04-17,430.64000000000004,431.37,426.08,427.4,52125900,664917e4,Bitcoin
2016-04-18,427.61,429.27,427.09,428.59,55670900,660415e4,Bitcoin
2016-04-19,428.7,436.02,428.1,435.51,52810500,662245e4,Bitcoin
2016-04-20,435.32,443.05,434.40999999999997,441.39,72890100,672637e4,Bitcoin
2016-04-21,441.41999999999996,450.55,440.95,449.42999999999995,68204700,682232e4,Bitcoin
2016-04-22,449.69,449.81,444.15000000000003,445.74,58804400,695186e4,Bitcoin
2016-04-23,445.86,450.28,444.33,450.28,50485400,689428e4,Bitcoin
2016-04-24,450.56,460.15000000000003,448.92999999999995,458.56,68198400,696857e4,Bitcoin
2016-04-25,459.12,466.62,453.59,461.42999999999995,87091800,710249e4,Bitcoin
2016-04-26,461.65000000000003,467.96,461.62,466.09,78971900,714306e4,Bitcoin
2016-04-27,466.26,467.08,444.13,444.69,93564900,721619e4,Bitcoin
2016-04-28,445.04,449.55,436.65000000000003,449.01,74064700,688917e4,Bitcoin
2016-04-29,449.40999999999997,455.38,446.02,455.1,49258500,695833e4,Bitcoin
2016-04-30,455.18,455.59,447.7,448.32,69322600,704946e4,Bitcoin
2016-05-01,448.47999999999996,452.47999999999996,447.92999999999995,451.88,40660100,694743e4,Bitcoin
2016-05-02,451.92999999999995,452.44,441.78,444.67,92127e3,700261e4,Bitcoin
2016-05-03,444.72999999999996,451.1,442.62,450.3,59366400,689269e4,Bitcoin
2016-05-04,450.18,450.38,445.63,446.71999999999997,50407300,697895e4,Bitcoin
2016-05-05,446.71,448.51,445.88,447.97999999999996,50440800,692699e4,Bitcoin
2016-05-06,447.94,461.38,447.07,459.6,72796800,69478e5,Bitcoin
2016-05-07,459.64000000000004,460.68,457.32,458.54,38364500,713112e4,Bitcoin
2016-05-08,458.42999999999995,459.41999999999996,455.97999999999996,458.55,40315e3,711406e4,Bitcoin
2016-05-09,458.21,462.47999999999996,456.53,460.47999999999996,55493100,711251e4,Bitcoin
2016-05-10,460.52,461.92999999999995,448.95,450.89,58956100,715037e4,Bitcoin
2016-05-11,450.86,454.58,450.86,452.72999999999996,50605200,700223e4,Bitcoin
2016-05-12,452.45,454.95,449.25,454.77,59849300,702833e4,Bitcoin
2016-05-13,454.85,457.06,453.45,455.67,60845e3,706727e4,Bitcoin
2016-05-14,455.82,456.84000000000003,454.78999999999996,455.67,37209e3,70841e5,Bitcoin
2016-05-15,455.76,458.69,455.46,457.57,28514e3,708476e4,Bitcoin
2016-05-16,457.59,458.2,452.94,454.16,59171500,711474e4,Bitcoin
2016-05-17,454.01,455.07,453.61,453.78,64100300,706073e4,Bitcoin
2016-05-18,453.69,456,453.3,454.62,86850100,705739e4,Bitcoin
2016-05-19,454.52,454.63,438.71,438.71,96027400,707209e4,Bitcoin
2016-05-20,437.78999999999996,444.05,437.39,442.68,81987900,681308e4,Bitcoin
2016-05-21,442.96999999999997,443.78,441.71,443.19,42762300,689523e4,Bitcoin
2016-05-22,443.21999999999997,443.42999999999995,439.04,439.32,39657600,69007e5,Bitcoin
2016-05-23,439.35,444.35,438.82,444.15000000000003,50582500,684247e4,Bitcoin
2016-05-24,444.28999999999996,447.1,443.92999999999995,445.97999999999996,65783100,692146e4,Bitcoin
2016-05-25,446.06,450.3,446.06,449.6,65231e3,695069e4,Bitcoin
2016-05-26,449.67,453.64000000000004,447.9,453.38,65203800,70085e5,Bitcoin
2016-05-27,453.52,478.15000000000003,453.52,473.46,164781e3,707001e4,Bitcoin
2016-05-28,473.03,533.47,472.7,530.04,181199e3,737578e4,Bitcoin
2016-05-29,527.48,553.9599999999999,512.1800000000001,526.23,148737e3,82265e5,Bitcoin
2016-05-30,528.47,544.3499999999999,522.9599999999999,533.8599999999999,87958700,824396e4,Bitcoin
2016-05-31,534.19,546.62,520.66,531.39,13845e4,83351e5,Bitcoin
2016-06-01,531.11,543.08,525.64,536.92,86061800,828868e4,Bitcoin
2016-06-02,536.51,540.3499999999999,533.08,537.97,60378200,8375e6,Bitcoin
2016-06-03,537.6800000000001,574.64,536.92,569.19,12202e4,839507e4,Bitcoin
2016-06-04,569.71,590.13,564.24,572.73,94925300,889708e4,Bitcoin
2016-06-05,573.31,582.81,569.1800000000001,574.98,68874100,895506e4,Bitcoin
2016-06-06,574.6,586.47,574.6,585.54,72138900,89777e5,Bitcoin
2016-06-07,585.4499999999999,590.26,567.51,576.6,10777e4,914958e4,Bitcoin
